Altium Designer Pick and Place Locations
C:\Git\Redako-PDNAnalyzer\Project Outputs for PDN Analyzer\Pick Place for PDN Analyzer(Default).csv

========================================================================================================================
File Design Information:

Date:       15/10/24
Time:       18:23
Revision:   e6a49a9dbbef5cfeafc27c55089f1542a17cf8ca
Variant:    Default
Units used: mm

"Designator","Layer","Center-X(mm)","Center-Y(mm)","Rotation"
"C29","TopLayer","-22.6375","-1.4000","90"
"C26","TopLayer","-22.6375","1.4000","90"
"U4","TopLayer","-25.0500","0.0000","0"
"R20","TopLayer","-21.6875","-1.4000","90"
"R19","TopLayer","-22.1625","0.0000","180"
"R18","TopLayer","-20.7625","1.4000","90"
"R17","TopLayer","-21.6875","1.4000","90"
"C30","TopLayer","-25.0500","-2.3500","180"
"C28","TopLayer","-27.9125","-1.0000","180"
"C25","TopLayer","-25.0500","2.3500","0"
"C24","TopLayer","-27.9125","1.0000","0"
"C27","TopLayer","-27.9125","0.0000","0"
"C8","TopLayer","-6.0500","-2.4000","0"
"C13","TopLayer","-12.3500","4.9000","270"
"C3","TopLayer","-12.3500","-4.9000","270"
"R12","TopLayer","-18.3000","4.4500","0"
"R11","TopLayer","-18.3000","5.3500","0"
"R6","TopLayer","-18.3000","-5.3500","0"
"R4","TopLayer","-18.3000","-4.4500","0"
"C19","TopLayer","-14.1500","2.1000","180"
"C22","TopLayer","-16.0500","7.7000","0"
"C23","TopLayer","-16.0500","-2.1000","0"
"C15","TopLayer","-16.0500","2.1000","0"
"C14","TopLayer","-16.0500","-7.7000","0"
"C20","TopLayer","-14.1500","7.7000","180"
"C16","TopLayer","-24.5000","-6.4000","0"
"C17","TopLayer","-24.5000","6.4000","0"
"C21","TopLayer","-14.1500","-2.1000","180"
"C18","TopLayer","-14.1500","-7.7000","180"
"C7","TopLayer","-9.2000","3.9500","90"
"C6","TopLayer","-9.2000","5.8500","90"
"C12","TopLayer","-4.7500","0.5500","0"
"C11","TopLayer","-2.9000","5.8500","270"
"U2","TopLayer","-15.1000","-4.9000","180"
"U1","TopLayer","-6.0500","4.9000","90"
"U3","TopLayer","-15.1000","4.9000","180"
"R15","TopLayer","-17.8500","-3.1000","90"
"R8","TopLayer","-11.9000","-6.3000","0"
"R7","TopLayer","-11.0000","-4.4500","0"
"R3","TopLayer","-11.0000","-5.3500","0"
"R1","TopLayer","-11.9000","-3.4500","0"
"R14","TopLayer","-11.9000","3.5500","0"
"R9","TopLayer","-11.9000","6.2500","0"
"R13","TopLayer","-10.9500","5.3500","0"
"R10","TopLayer","-10.9500","4.4500","0"
"R16","TopLayer","-17.8500","6.7000","90"
"R5","TopLayer","-7.3500","0.5500","180"
"R2","TopLayer","-4.8000","9.2500","180"
"CN2","TopLayer","0.4000","-7.4000","0"
"CN1","TopLayer","0.4000","-2.4000","180"
"C1","TopLayer","0.4000","4.9000","270"
"C2","TopLayer","-6.0500","-7.4000","0"
"J1","TopLayer","-32.3200","0.0000","270"
"C9","TopLayer","-2.9000","3.9500","270"
"C5","TopLayer","-7.3500","9.2500","0"
"C4","TopLayer","-9.2000","7.7500","270"
"C10","TopLayer","-2.9000","2.0500","90"
